IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
Akio;AKIO;4,21002E+13;Paris; 43 RUE DE DUNKERQUE  75010 PARIS   ;0;18/05/2017 00:00
Aksys network;AKSY;5,33215E+13;Angers;SAINT-SYLVAIN-D ANJOU 1 ZONE DU BON PUITS  49480 VERRIERES-EN-ANJOU   ;0;06/06/2018 00:00
AL66;AL66;8,27896E+13;Paris; 100 RUE JEAN-PIERRE TIMBAUD  75011 PARIS   ;0;10/03/2017 00:00
Alambic.com;ALCO; ;0381031813 RCS Grenoble; LE PERRON  38450 MIRIBEL LANCHATRE   ;0;16/06/2010 00:00
Alamys;ALAM;8,40472E+13;Albi; LA GREZE DU TARN  81430 AMBIALET   ;0;31/10/2018 00:00
Alate ;ALAT;8,17643E+13;Compiègne; 83 RUE DU MOULIN SAINT TRON  60300 SENLIS   ;0;20/03/2016 00:00
ALBA PHONE;ALBA;5,32926E+13;BORDEAUX; 73BIS AVENUE DE L'ENTRE-DEUX MERS  33370 SAINT HILAIRE   ;0;30/01/2012 00:00
Albi technologie systèmes;ASYS;4,20399E+13;Albi; 73 BIS AVENUE FRANCOIS VERDIER  81000 ALBI   ;0;22/07/2017 00:00
ALBIANT-IT;ALBI;5,01105E+13;PARIS; 50 AVENUE PIERRE MENDES FRANCE  75201 PARIS  CEDEX 13 ;0;24/06/2013 00:00
ALCATRAZ INFORMATION SECURITY;ALCA;4,83395E+13;Lyon;LEADER S PARK 3 CHEMIN DES CYTISES  69340 FRANCHEVILLE   ;0;04/07/2011 00:00
ALCETIS;ALCE;4,4499E+13;BOBIGNY; 6 RUE SIMONE BIGOT  93360 NEUILLY PLAISANCE   ;0;06/03/2013 00:00
Ale international;AINT;6,02033E+13;Nanterre; 32 AVENUE KLEBER  92700 COLOMBES   ;0;29/06/2017 00:00
Alekso;ALEK;8,42363E+13;Nanterre; 1 RUE JOSEPH LAHUEC  92350 LE PLESSIS-ROBINSON   ;0;11/01/2019 00:00
ALEPH ZERO LABS;ALEP;5,24266E+13;LILLE;EURATECHNOLOGIE 165 AVENUE DE BRETAGNE  59000 LILLE   ;0;15/10/2012 00:00
ALERTE INFORMATIQUE;ALEI;4,87489E+13;Melun; 462 RUE BENJAMIN DELESSERT BP 83 77554 MOISSY CRAMAYEL  CEDEX ;0;27/08/2009 00:00
ALERTIM;ATIM;3,91813E+13;EVREUX; 46 RUE DE LA VALLEE  27200 VERNON   ;0;19/04/2013 00:00
Alès Agglomération;LSAG;2,00067E+13;Nîmes;BATIMENT ATOME 2 RUE MICHELET BP 60249 30100 ALES   ;0;17/09/2018 00:00
ALFA.SAFETY;ALFA;4,05101E+13;Nantes; 15 RUE LAMORICIERE  44100 NANTES   ;0;26/10/2010 00:00
Alfab;ALFB;8,24948E+13;Brive La Gaillarde; 22 RUE DU 9 JUIN 1944  19000 TULLE   ;0;17/09/2018 00:00
Alfaega;ALGA;8,18594E+13;Paris; 9 RUE ANATOLE DE LA FORGE  75017 PARIS   ;1;20/03/2018 00:00
Algorys;ALGO;4,20768E+13;Lyon;IMMEUBLE LE QUADRILLE 30 RUE EDOUARD NIEUPORT  69008 LYON   ;0;15/07/2019 00:00
Alisys Digital SLU;ALDI; ;B86434875 Madrid;ESPACIO UTOPICUS CALLE ORENSE 62  28020 MADRID   ESPAGNE;0;26/01/2021 00:00
ALKANTE;ALKA;4,44614E+13;RENNES; 1 RUE DU CHENE MORAND  35510 CESSON-SEVIGNE   ;0;29/10/2012 00:00
Alkivi;ALKI;7,93678E+13;Lille Métropole;3EME ETAGE 5 AVENUE LOUISE  59110 LA MADELEINE   ;0;19/02/2020 00:00
All call;ALLC;8,17574E+13;Nice;LE FRONT DE MER - ENTREE C 1 AVENUE DU DOCTEUR ROUX  06200 NICE   ;1;07/07/2016 00:00
All telecom services;LTES;5,23218E+13;Paris; 32 RUE DE PARADIS  75010 PARIS   ;0;20/11/2017 00:00
All together connected;ATCA;8,23281E+13;Pointe-à-Pitre;ZI JARRY 772 RUE ALFRED LUMIERE  97122 BAIE-MAHAULT   ;0;02/01/2017 00:00
Allance;ALLA;5,01214E+13;Créteil; 12 BOULEVARD DE VINCENNES  94120 FONTENAY-SOUS-BOIS   ;0;10/06/2016 00:00
Allez et Cie;ALCI;5,72202E+13;PARIS; 27 RUE DANIELLE CASANOVA  75001 PARIS   ;0;10/10/2019 00:00
ALLIANCE CONNECTIC;ALLI;5,02455E+13;Belfort; ZONE INDUSTRIELLE  90800 BAVILLIERS   ;0;04/06/2008 00:00
Alliance informatique;ALUE;5,02454E+13;Strasbourg;AEROPARC 3 15 RUE DU CORDONNIER  67960 ENTZHEIM   ;0;17/12/2015 00:00
Alliance réseau partner's (ARP);ARPS;8,429E+13;Nanterre; 19-21 AVENUE DUBONNET  92400 COURBEVOIE   ;0;17/09/2020 00:00
ALLIANCE RESEAUX;ALRE;3,93953E+13;CHAMBERY; 26 RUE SAINT EXUPERY BP 144 73303 SAINT JEAN-DE-MAURIENNE  CEDEX ;0;03/07/2012 00:00
ALLIANCE TECHNOLOGY;ATEC;4,83291E+13; ;5 A IMMEUBLE NEVADA ZI DE JARRY RUE THOMAS EDISON  97122 BAIE MAHAULT   ;0;12/06/2010 00:00
ALLIANCE TELECOM;ALLT;4,22583E+13;MONTPELLIER;HOTEL DES ENTREPRISES DU MILLENAIRE 1068 RUE DE LA VEILLE POSTE  34000 MONTPELLIER   ;0;04/10/2012 00:00
Alliance Très Haut Débit;AXTD;5,29194E+13;Rodez;ZA BEL AIR 13 AVENUE DU CAUSSE  12000 ONET-LE-CHATEAU   ;0;08/03/2018 00:00
Alliantel;ALEL;5,12743E+13;Paris; 31 RUE DE CONSTANTINOPLE  75008 PARIS   ;0;01/06/2017 00:00
Allset;ALLS;4,99483E+13;Bobigny;CENTRAL II 460 CLOS DE LA COURTINE  93160 NOISY LE GRAND   ;0;11/07/2014 00:00
Alnet;ALNE;5,00786E+13;Perpignan; 2 AVENUE DU 8 MAI 1945  66700 ARGELES-SUR-MER   ;0;18/10/2018 00:00
Alnilam;ALNI;5,18214E+13;Paris; 91 RUE DU FAUBOURG SAINT HONORE  75008 PARIS   ;1;22/12/2009 00:00
Alone conseil;ALON;8,20072E+13;Toulouse; 52 BOULEVARD GABRIEL KOENIGS  31300 TOULOUSE   ;0;17/10/2019 00:00
Alpes connect;ALCT;8,19754E+13;Grasse;SOPHIA-ANTIPOLIS 291 RUE ALBERT CAQUOT  06560 VALBONNE   ;0;03/08/2020 00:00
Alpes networks;ASKS;8,88326E+13;Annecy; 17 RUE MIRA  74650 CHAVANOD   ;0;28/08/2020 00:00
Alpesys;ALPE;7,99731E+13;Chambéry;354 VOIE MAGELLAN   73800 SAINTE-HELENE-DU-LAC   ;0;29/05/2015 00:00
ALPHA SYSTEM;ALSY;3,42757E+13;Orléans; 20 BOULEVARD JEAN JAURES  45000 ORLEANS   ;0;08/02/2010 00:00
ALPHACOM;LPHC;8,41568E+13;VERSAILLES; 19 B IMPASSE DE LA BRIQUETTERIE  78430 LOUVECIENNES   ;0;23/03/2021 00:00
ALPHAFIBER;AFBR;8,88186E+13;PARIS; 31 RUE DES BOURDONNAIS  75001 PARIS   ;0;14/04/2021 00:00
Alphalink;ALPL;4,23646E+13;Saint-Nazaire;LE BOISMAIN ZAC DU VAL SAINT MARTIN ROUTE DE CHAUVE  44210 PORNIC   ;1;10/11/2005 00:00
Alphatelecom;ALPH;8,30681E+13;Chaumont; 5 RUE DE L ABBE GRUET  52100 SAINT-DIZIER   ;0;09/09/2017 00:00
ALSACE CONNEXIA;ALSA;4,80083E+13;Nanterre; 40 QUAI DU POINT DU JOUR  92659 BOULOGNE BILLANCOURT  CEDEX ;0;14/01/2005 00:00
Alsace fibre;ALFI;8,4509E+13;Colmar; 107 RUE DU MARECHAL FOCH  67730 CHATENOIS   ;0;08/03/2019 00:00
Alsace réseau neutre;AARN;7,52972E+13;Strasbourg; 18 RUE FREDERIC  67100 STRASBOURG   ;0;07/08/2012 00:00
Alsatis;R012;4,79858E+13;Toulouse;ZAC PARC BASSO CAMBO 11 RUE MICHEL LABROUSSE  31100 TOULOUSE   ;0;23/12/2004 00:00
Alsotel;ALSO;3,34823E+13;Pontoise; 98 BOULEVARD JOFFRE  95240 CORMEILLE-EN-PARISIS   ;0;11/04/2019 00:00
Alsyone;ALSN;4,98418E+13;QUIMPER; PENHORS  29720 TREOGAT   ;0;16/05/2018 00:00
Altasoft;ALTA;5,14635E+13;Rouen;ESPACE LEADER 6 RUE GUSTAVE EIFFEL  76230 BOIS GUILLAUME   ;0;02/09/2014 00:00
Altavox;ATVX;8,11876E+13;Montpellier;10 PARC DU MILLENAIRE 1025 AV. HENRI BECQUEREL  34000 MONTPELLIER   ;0;06/09/2015 00:00
Altea networks;ALKS;4,85147E+13;Paris; 4 RUE GALVANI  75838 PARIS  CEDEX 17 ;0;26/02/2016 00:00
ALTER TELECOM;ALTE;4,79322E+13;Versailles; 5 RUE DU CHANT DES OISEAUX  78360 MONTESSON   ;1;10/07/2006 00:00
Altercamino;AINO;8,01577E+13;Tarascon; 62 RUE MICHELET  13990 FONTVIEILLE   ;0;05/01/2016 00:00
Altern telecom;ALTL;4,97947E+13;Paris; 23 AVENUE RENE COTY  75014 PARIS   ;0;11/06/2007 00:00
ALTERNATIF INTERNATIONAL;ALIN;4,53847E+13;Paris; 25 RUE DE PONTHIEU  75008 PARIS   ;0;07/05/2008 00:00
Alternatiq;ALIQ;4,9021E+13;Saverne; 25C RUE PRINCIPALE  67710 WANGENBOURG-ENGENTHAL   ;0;03/07/2017 00:00
Alternative connect;ALTR;8,93433E+13;Angers; 17 RUE CHARLES GOUNOD  49100 ANGERS   ;0;15/03/2021 00:00
Altervoice;ATVO;5,20841E+13;Rennes;ROUTE NATIONALE-LES CORMIERS-ESPACE EN   35650 LE RHEU   ;0;13/12/2019 00:00
Altinea;ALEA;8,32739E+13;Lons-le-Saunier; 9 RUE DU FAUBOURG  39570 NOGNA   ;0;21/11/2017 00:00
Altiore technologie;ARNT;8,18121E+13;Antibes; 105 ROUTE DES CHAPPES  06410 BIOT   ;0;22/10/2018 00:00
Altitude fibre 21;AF21;8,315E+13;Evreux; 9200 VOIE DES CLOUETS  27100 VAL-DE-REUIL   ;0;14/08/2019 00:00
Altitude Fibre 39;AF39;8,22893E+13;Evreux; 2247 VOIE DE L'OREE  27100 VAL-DE-REUIL   ;0;24/02/2021 00:00
Altitude fibre 40;AF40;8,45171E+13;Evreux; 9200 VOIE DES CLOUETS  27100 VAL-DE-REUIL   ;0;17/09/2019 00:00
Altitude infrastructure;CPOD;4,03113E+13; ; 9200 VOIE DES CLOUETS  27100 VAL DE REUIL   ;1;21/11/2005 00:00
Altitude infrastructure exploitation;AIEX;5,09662E+13;Nanterre;TOUR ARIANE 5 PLACE DE LA PYRAMIDE  92088 PARIS LA DEFENSE  CEDEX ;1;21/10/2010 00:00
Altitude infrastructure THD;AITH;8,09823E+13;Nanterre;TOUR ARIANE 5 PLACE DE LA PYRAMIDE  92088 PARIS LA DEFENSE  CEDEX ;0;08/04/2015 00:00
Altocom;ALTC;8,88837E+13;Melun; 53 RUE DE GROS BOIS  77250 MORET LOING ET ORVANNE   ;0;05/10/2020 00:00
Altsysnet.com;ATSY;8,00919E+13;TOULOUSE; 8 PLACE DE L'HOTEL DE VILLE  31220 CAZERES   ;0;24/03/2014 00:00
Altup conseil;ALTU;8,03893E+13;Lyon; 13 COURS DE VERDUN-GENSOUL  69002 LYON   ;0;22/03/2018 00:00
Always on;LEON;5,03112E+13;PARIS; 35 RUE DES JEUNEURS  75002 PARIS   ;1;29/04/2008 00:00
ALYATIS;ALYA;5,21505E+13;La ROche-sur-Yon;ZAE LES CHAMPS FRANCS 22 ROUTE DE SAINT-POMPAIN  85490 BENET   ;0;15/12/2020 00:00
AM trust;AMTR;4,02723E+13;Nanterre; 12-16 RUE SARAH BERNHARDT  92600 ASNIERES-SUR-SEINE   ;0;03/04/2019 00:00
AMABIS;AMAB;4,09016E+13;Nanterre; 31 AVENUE DU GENERAL LECLERC  92342 BOURG LA REINE  CEDEX ;0;26/05/2011 00:00
Amadeus;AMAD;5,18421E+13;Toulouse; 20 IMPASSE CAMILLE LANGLADE  31100 TOULOUSE   ;0;08/07/2016 00:00
Ambition consulting et services;ACSE;5,14476E+13;Bourg-en-Bresse; 146 RUE DE CORNU  01600 REYRIEUX   ;0;29/05/2020 00:00
AMBSE;AMSE;4,7987E+13;Belley; RUE DE LA CHAPELLE  01680 INNIMOND   ;0;03/07/2007 00:00
AMCS LLC;AWSS; ;5983418 Delaware USA; LITTLE FALLS DRIVE 251  19808 WILMINGTON DELAWARE  ETATS-UNIS;0;03/05/2021 00:00
AMD TELECOM;AMDT; ;Register n° 66470/62/V/08/134 of Prefect Thessaloniki SA Companies Register, Grèce;12TH KM THESSALONIKIS - LITIS   ZIP 57200 LAGKADAS   GRECE;0;09/04/2013 00:00
Amedia solutions;AMSO;4,40718E+13;Brive-la-Gaillarde; 15 RUE DE FELETZ  19100 BRIVE-LA-GAILLARDE   ;1;27/10/2016 00:00
AMEOS;AMEO;4,49275E+13;Strasbourg; 43 ROUTE DE BRUMATH  67670 MOMMENHEIM   ;0;11/02/2009 00:00
American Virtual Cloud Technologies Ireland Limited;AVCT; ;numero des registration 682830   Dublin, Irlande;6TH FLOOR 2 GRAND CANAL SQUARE  2 DUBLIN   IRLANDE;0;12/02/2021 00:00
Amfisa;AMFS;8,02644E+13;Ajaccio;BATIMENT G LES 4 PORTES  20137 PORTO-VECCHIO   ;0;24/11/2020 00:00
Amg com;AMGC;5,38554E+13;Aubenas; 17 RUE ALEXANDRE BOTTET  07500 GUILHERAND-GRANGES   ;0;22/07/2015 00:00
Amicale verdonnaise;R018; ;4454 ASSO Périgueux; MAIRIE  24520 VERDON   ;0;05/07/2005 00:00
Amigest IT;AMIT;8,8052E+13;Lyon; 169 AVENUE CHARLES DE GAULLE  69160 TASSIN-LA-DEMI-LUNE   ;0;07/10/2020 00:00
Amios;AMIO;7,94755E+13;Toulouse;MINIPARC 3 478 RUE DE LA DECOUVERTE CS 67624 31676 LABEGE  CEDEX ;0;15/07/2019 00:00
Amix informatique;AMIX;4,1006E+13;Le Mans; 24 RUE GAMBETTA  72300 SABLE-SUR-SARTHE   ;0;09/03/2018 00:00
Amplement;AMPL;5,2033E+13;Nanterre; 84 AVENUE DU GENERAL LECLERC  92100 BOULOGNE-BILLANCOURT   ;0;24/03/2020 00:00
AMS Solution;AMSS;8,43237E+13;FREJUS; 139 CHEMIN DES VERNEDES  83480 PUGET SUR ARGENS   ;0;20/04/2021 00:00
AMTECH;AMCH;4,83588E+13;ANGERS;CENTRE COMMERCIAL L'ESPLANADE PLACE DU CHAPEAU DE GENDARME  49000 ANGERS   ;0;04/02/2021 00:00
Andbur;ANDB;4,33415E+13;Paris ; 156 AVENUE DE CLICHY  75017 PARIS   ;0;15/03/2018 00:00
Aneol;ANEO;5,07941E+13;Saint-Etienne; 5 RUE DE LA TELEMATIQUE  42000 SAINT-ETIENNE   ;0;05/11/2020 00:00
Angelinks;ANGK;8,94518E+13;Lyon; 2507 AVENUE DE L'EUROPE  69140 RILLIEUX LA PAPE   ;0;11/05/2021 00:00
Anjou fibre;ANFI;8,37781E+13;Angers; 25 RUE LENEPVNEU  49100 ANGERS   ;0;09/03/2018 00:00
Annatel telecom;ANEL;8,02182E+13;Paris; 4 RUE DU DAHOMEY  75011 PARIS   ;1;28/10/2014 00:00
Annecy expertise informatique;AEIA;4,48199E+13;Annecy; 400 ROUTE DE LA VIEILLE EGLISE  74410 SAINT-JORIOZ   ;0;16/02/2018 00:00
Ans-com;ANSM;4,03939E+13;Lille; 21 AVENUE DE LA CREATIVITE  59658 VILLENEUVE-D ASCQ  CEDEX ;0;28/07/2014 00:00
Antares technologie;ANIE;7,53081E+13;Nanterre; 10 RUE DE L ASPIRANT D ARGENT  92300 LEVALLOIS-PERRET   ;0;08/02/2017 00:00
Anthea informatique;ANTH;8,18713E+13;Tarbes; 19 RUE DU TOURMALET  65420 IBOS   ;0;15/09/2021 00:00
Antiane;ATNE;4,31401E+13;Fort-de-France;ZI ACAJOU CALIFORNIE   97232 LAMENTIN   ;0;07/11/2014 00:00
ANTILLES INTERNET ET TELECOMMUNICATIONS;ANTI;4,80292E+13;Basse Terre; 30 RESIDENCE SPRING HILLS BP 4278 97150 ST MARTIN   ;0;16/06/2005 00:00
Antilles SIP;ATLS;8,80938E+13;Fort-de-France;IMMEUBLE EQUINOXES-LOT. DILLON STADE 12 RUE DES ARTS ET METIERS  97200 FORT-DE-FRANCE   ;0;12/02/2020 00:00
Antilles téléphone;ANTP;3,28491E+13;Fort-de-France;IMMEUBLE BLANDIN ZI LES MANGLES ACAJOU BP 393 97232 LE LAMENTIN   ;0;16/05/2017 00:00
Aowoa;AOWO;7,90412E+13;Toulon;ESPACE GALAXIE C 526 AV. MARECHAL DE LATTRE DE TASSIGNY  83000 TOULON   ;1;03/07/2017 00:00
APB-multimedia SAS;APBM;7,90811E+13;Tours; 4 RUE DU NOUVEAU CALVAIRE  37100 TOURS   ;0;18/03/2019 00:00
APE télécom;APET;8,32803E+13;Lyon; 65 RUE DU PESAGE  69140 RILLIEUX-LA-PAPE   ;0;08/11/2017 00:00
Apidaze;R3LO;7,91294E+13;PARIS; 84 AVENUE DE LA REPUBLIQUE  75011 PARIS   ;1;03/06/2013 00:00
Apinet;APNT;8,51219E+13;La Roche-sur-Yon; 11 TER RUE DE LA METAIRIE  85500 LES HERBIERS   ;0;12/06/2019 00:00
Aplon service informatique assistance;ASIA; ;Préfecture du Pas-de-Calais le 29 juin 1995;ZONE D ACTIVITE CHEMIN DES FILATIERS  62223 ANZIN ST AUBIN   ;0;03/04/2009 00:00
Apo'g;APOG;4,42013E+13;Nanterre; 2 BOULEVARD DU GENERAL DE GAULLE  92120 MONTROUGE   ;0;18/01/2019 00:00
Apoje;APOJ;4,31871E+13;Antibes; 60 BOULEVARD DU POINT DU JOUR  06700 SAINT-LAURENT-DU-VAR   ;0;03/12/2019 00:00
Appel telecom;APPE;8,03846E+13;Toulouse; 41 RUE DE LA DECOUVERTE CS 37621 31676 LABEGE   ;1;11/12/2014 00:00
Appius;APPI;3,90692E+13;Lille Métropole;LES TERRASSES DU PONT NEUF 58 AVENUE DU PEUPLE BELGE  59000 LILLE   ;0;28/10/2019 00:00
APPLI'CALL;APPL;5,00284E+13;Lille; 5 RUE LAURENT LAVOISIER  59370 MONS EN BAROEUL   ;0;28/05/2008 00:00
Appliwave;APWA;5,24227E+13;Paris; 126 RUE DE CHARENTON  75012 PARIS   ;1;17/07/2014 00:00
Apps2com;APPS;8,03042E+13;Evry;PARC BUROSPACE 22 4 ROUTE DE GISY  91570 BIEVRES   ;1;05/12/2014 00:00
Appsolu;APLU;7,52136E+13;Paris; 265 RUE DU FAUBOURG SAINT-ANTOINE  75011 PARIS   ;0;08/03/2020 00:00
Aprile;APRL;4,51604E+13;NANTERRE; 164 BIS RUE D'AGUESSEAU  92100 BOULOGNE-BILLANCOURT   ;0;14/05/2020 00:00
Aqsio;AQSI;8,83636E+13;Salon de Provence; 96 BOULEVARD DE L EUROPE  13127 VITROLLES   ;0;23/06/2020 00:00
Aquila;AQUL;8,43918E+13;Evry; 19 RUE CAMILLE PELLETAN  91550 PARAY VIELLE POSTE   ;0;08/04/2021 00:00
Aquilenet;AQUI;5,27778E+13;Bordeaux; 155 COURS DE LA SOMME  33800 BORDEAUX   ;0;05/11/2010 00:00
AR systemes;ARSY;3,82685E+13;Nanterre; 51 RUE DE STALINGRAD  92000 NANTERRE   ;0;27/12/2019 00:00
ARA Informatique;ARAI;8,41493E+13;Aubenas;CS30029 14 AVENUE DE L'EUROPE  07102 ANNONAY  CEDEX ;0;06/08/2018 00:00
Ara telecom;ARAT;4,83446E+13;Mulhouse; 1 AVENUE PIERRE PFLIMLIN  68390 SAUSHEIM   ;0;28/11/2014 00:00
Aramis SI;ARAM;4,79342E+13;Evry;BOULEVARD DES COQUIBUS 17/19 IMPASSE ALEXIS TRINQUET  91000 EVRY   ;0;05/10/2015 00:00
Aramys;ARYS;4,47997E+13;Pontoise; 63 RUE ELIE GRUYELLE  62110 HENIN-BEAUMONT   ;0;22/08/2019 00:00
Arantel;ARAN;4,39973E+13;Nantes;PARC D ACTIVITES DE LA FORET 24 RUE DE LA COMMUNAUTE  44140 LE BIGNON   ;0;26/05/2017 00:00
Araxxe;ARAX;4,81164E+13;Lyon;IMMEUBLE BRITANNIA - BAT. A 20 BOULEVARD EUGENE DERUELLE  69003 LYON   ;0;01/02/2016 00:00
Arc mobile;ARCO;5,38191E+13;BOBIGNY; 138 AVENUE HENRI BARBUSSE  93700 DRANCY   ;0;30/09/2020 00:00
Arcane;ARCA; ;W221002368; 23 RUE DE RENNES  22350 CAULNES   ;0;30/05/2016 00:00
Arcelormittal Atlantique et Lorraine;AMAL;4,44719E+13;Bobigny;IMMEUBLE “LE CEZANNE“ 6 RUE ANDRE CAMPRA  93200 SAINT DENIS   ;0;22/04/2015 00:00
Archi telecom;ARHI;8,48039E+13;Paris; 5 BIS IMPASSE DE MONT-LOUIS  75011 PARIS   ;0;14/02/2019 00:00
ARCHIMAINE;ARCH;3,98879E+13;Laval; 162 AVENUE DES FRANCAIS LIBRES BP 1015 53010 LAVAL  CEDEX ;0;19/03/2008 00:00
ARES SECURE;ARSS;8,81396E+13;nevian; 2 BIS DES CHEMIN DES ARENES  11200 NEVIAN   ;0;19/01/2021 00:00
Arescom;AROM;4,21918E+13;Créteil; 46 RUE DE FLORE  94140 ALFORTVILLE   ;0;14/11/2017 00:00
ARESTE INFORMATIQUE;ARES;3,4194E+13;CLERMONT-FERRAND; 52 RUE DE ROMAGNAT  63170 AUBIERE   ;0;07/11/2012 00:00
ARGR 2;FIOP;8,43904E+13;Coutances; 35 RUE DOCTEUR FAUVEL  50200 COUTANCES   ;0;10/06/2021 00:00
Ariane.network;ARNE;8,23229E+13;Albi; 1 AVENUE GILLES DE GENNES  81000 ALBI   ;0;16/06/2017 00:00
ARIEGE TELECOM;ARGT;4,98161E+13;Nanterre; 40-42 QUAI DU POINT DU JOUR  92100 BOULOGNE BILLANCOURT   ;0;11/06/2007 00:00
Ariège Très Haut Débit;ARTD;8,1739E+13;Foix; 7 TER AVENUE DE FERRIERES  09000 FOIX   ;0;26/02/2018 00:00
Arios telecom;ARIO;7,93227E+13;La Roche-sur-Yon; 12 RUE HERVE DE MAREUIL  85320 MAREUIL-SUR-LAY-DISSAIS   ;0;28/09/2017 00:00
ARISS INFORMATIQUE;ARIS;4,89682E+13;Mende; 12 B AVENUE FOCH  48000 MENDE   ;0;16/01/2009 00:00
Aristee data;ARDA;8,87984E+13;Nanterre;IMMEUBLE PCB1 4 PLACE DE LA DEFENSE  92974 PARIS LA DEFENSE  CEDEX ;0;26/08/2020 00:00
Arkena;ARKE;4,02433E+13;Paris; 15 RUE COGNACQ-JAY  75007 PARIS   ;0;10/07/2018 00:00
ARLH;ARLH;8,30104E+13;Arras;PARC TERTIAIRE-BATIMENT B ROUTE DE OIGNIES  62710 COURRIERES   ;0;18/10/2018 00:00
ARMOR CONNECTIC;ARMO;5,0511E+13;Guingamp; 163 QUAI DU DOCTEUR DERVAUX  92601 ASNIERES SUR SEINE   ;0;01/08/2008 00:00
ARQIVA SAS;ARQI;4,94343E+13;Paris;ENERGY PARK BAT. ENERGY 2 - CS40513 4 RUE PAUL DAUTIER  78140 VELIZY VILLACOUBLAY  CEDEX ;0;28/02/2007 00:00
Arras Networks;ARRA;4,79034E+13;Arras;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;02/05/2006 00:00
ARS Administration réseaux et systèmes;ADRS;4,80779E+13;Aix-en-Provence; 1455 CHEMIN DE SAUVECANNE  13320 BOUC BEL AIR   ;0;22/06/2021 00:00
Arselen communication France;ARSE;8,32256E+13;Paris; 17 RUE DUPIN  75006 PARIS   ;1;10/04/2018 00:00
Ar'tech;ATEH;8,83713E+13;La Roche-sur-Yon;PARC D ACTIVITE DE LA ROMAZIERE 4 SQUARE DES GOBELINS BP 444 85300 CHALLANS   ;0;26/06/2020 00:00
Artecka - informatique & telecom;ARTK;8,53602E+13;Bayonne; 57 AVENUE DU MARECHAL JUIN  64200 BIARRITZ   ;0;11/09/2019 00:00
Artefact;ARTF;4,44111E+13;Brive;ARTECHNOPOLE 3 RUE DES FRÈRES GONCOURT  19100 BRIVE LA GAILLARDE   ;1;06/12/2006 00:00
Artelcom ;ATLM;3,81964E+13;Créteil;EUROPARC 3 ALLEE DES CERISIERS  94000 CRETEIL   ;0;06/09/2019 00:00
Arteria;@RTE;4,44279E+13;Nanterre; 1 TERRASSE BELLINI TSA 41000 92919 PARIS LA DEFENSE   ;0;14/03/2007 00:00
Ar-tic;ARTC;4,97576E+13;Lyon; 56B AVENUE CHANOINE CARTELLIER  69230 SAINT-GENIS-LAVAL   ;0;04/09/2017 00:00
Artis;ARSI;3,78457E+13;Nantes;ZA DES GRESILLIERES   44230 SAINT-SEBASTIEN-SUR-LOIRE   ;0;04/10/2018 00:00
Art'tec communications;RTEC;8,84975E+13;Avignon; 84 AVENUE DE LATTRE DE TASSIGNY  84100 ORANGE   ;0;19/10/2020 00:00
Asap network;ASAP;5,37468E+13;Avignon;ESPACE MOMAN 65 CHEMIN DE CAPEAU  84270 VEDENE   ;0;05/08/2015 00:00
Asformia T.I.C.;ASFR;8,48751E+13;Chateauroux;ROUTE D ARGENTON ZA LA BOUSSINIERE  36170 SAINT BENOIT DU SAULT   ;0;04/10/2021 00:00
ASII Telecom;ASII;7,52344E+13;PARIS; 14 AVENUE D'EYLAU  75116 PARIS   ;0;06/06/2013 00:00
Askeanet;ASKE;8,38379E+13;Hendaye;CHEZ COCOBA - ZI DES JONCAUX 9 RUE LEKUEDER  64700 HENDAYE   ;0;02/06/2018 00:00
As-pc;ASPC;4,09434E+13;Villefranche-sur-Saône; 31 RUE DES VARENNES  69380 CHAZAY   ;0;26/01/2015 00:00
Aspserveur;ASPS;4,51777E+13;MARSEILLE;ZAC ATHELIA III - 785 VOIE ANTIOPE   13600 LA CIOTAT   ;0;23/11/2012 00:00
Assembly global networks Ltd;ASGN; ;5234886 in Companies House UK;CHANCERY HOUSE 53 CHANCERY LANE  WC2A 1QU LONDON   ROYAUME-UNI;0;21/01/2021 00:00
Assist info 21;ASFO;7,91086E+13;Dijon; 10 RUE COLONEL REDOUTEY  21130 AUXONNE   ;0;28/09/2016 00:00
Assist@micro;ASSI;4,50043E+13;Bordeaux; 257 RUE D ORNANO  33000 BORDEAUX   ;0;12/02/2014 00:00
Assistance informatique du Ried;AIRD;4,8907E+13;Strasbourg; 37 RUE REUCHLIN  67150 GERSTHEIM   ;0;03/07/2017 00:00
Assistance informatique photocopieur papeterie;APHT;7,92515E+13;Nîmes; 35 RUE DES 3 JOURNEES  30130 PONT-SAINT-ESPRIT   ;0;14/10/2020 00:00
Assistance secrétariat informatique;ASQU;4,42614E+13;Vannes; 1 RUE ALAIN GERBAULT  56000 VANNES   ;0;10/02/2020 00:00
Assistance service informatique et telecom;ASIT;4,97652E+13;Bourges;ESPLANADE DE L AEROPORT 3B RUE DIDIER DAURAT  18000 BOURGES   ;0;13/11/2017 00:00
Association des réseaux étudiants de Saclay;ASRE; ;W913006899 Préfecture de l'Essonne; 1 RUE JOLIOT CURIE  91190 GIF SUR YVETTE   ;0;05/01/2016 00:00
